Guid,AnnualRevenue,City,CleanStatus,Company,CompanyDunsNumber,Country,CurrentGenerators__c,Description,Email,EmailBouncedReason,Fax,FirstName,GeocodeAccuracy,Industry,IsConverted,IsUnreadByOwner,Jigsaw,LastName,Latitude,LeadSource,Longitude,MobilePhone,NumberOfEmployees,NumberofLocations__c,Phone,PostalCode,Primary__c,ProductInterest__c,Rating,SICCode__c,Salutation,State,Status,Street,Title,Website
026c96fa-c4e6-4924-9886-213dd94e0444,"#N/A","#N/A",Pending,International Shipping Co.,"#N/A",USA,All,"#N/A",patricia_feager@is.com,"#N/A","#N/A",Patricia,"#N/A","#N/A",false,true,"#N/A",Feager,"#N/A",Partner Referral,"#N/A","#N/A","#N/A",130.0,(336) 777-1970,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,NC,Working - Contacted,"#N/A",CEO,"#N/A"
03df443e-8c28-4e51-a2e7-29e40eed8125,"#N/A","#N/A",Pending,Western Telecommunications Corp.,"#N/A",USA,All,"#N/A",shellyb@westerntelecom.com,"#N/A","#N/A",Shelly,"#N/A","#N/A",false,true,"#N/A",Brownell,"#N/A",Partner Referral,"#N/A","#N/A","#N/A",130.0,(408) 326-9000,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,CA,Working - Contacted,"#N/A","SVP, Technology","#N/A"
0d83e65b-30ed-4f4e-acf5-5ed6fce7941c,"#N/A","#N/A",Pending,Dickenson plc,"#N/A",USA,All,"#N/A",a_young@dickenson.com,"#N/A","#N/A",Andy,"#N/A","#N/A",false,true,"#N/A",Young,"#N/A",Purchased List,"#N/A","#N/A","#N/A",130.0,(620) 241-6200,"#N/A",Yes,GC5000 series,"#N/A",2768,Mr,KS,Closed - Converted,"#N/A","SVP, Operations","#N/A"
16323abf-dbe6-417c-be73-36eaddf9ea50,"#N/A","#N/A",Pending,Pyramid Construction Inc.,"#N/A",France,All,"#N/A",pat@pyramid.net,"#N/A","#N/A",Pat,"#N/A","#N/A",false,true,"#N/A",Stumuller,"#N/A",Phone Inquiry,"#N/A","#N/A","#N/A",130.0,33562156600,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,"#N/A",Closed - Converted,"#N/A","SVP, Administration and Finance","#N/A"
1842d30a-ec97-450f-9fea-f19a8b0864af,"#N/A","#N/A",Pending,Delphi Chemicals,"#N/A",USA,All,"#N/A",tom.james@delphi.chemicals.com,"#N/A","#N/A",Tom,"#N/A","#N/A",false,true,"#N/A",James,"#N/A",Web,"#N/A","#N/A","#N/A",130.0,(952) 346-3500,"#N/A",Yes,GC5000 series,"#N/A",2768,Mr,MN,Working - Contacted,"#N/A","SVP, Production","#N/A"
234063b4-c0b3-407c-9276-e45bbb8efac0,3.5E8,Burlington,Pending,Burlington Textiles Corp of America,"#N/A",USA,John Deere,"#N/A",jrogers@btca.com,"#N/A",(336) 222-8000,Jack,"#N/A",Apparel,false,true,"#N/A",Rogers,"#N/A",Web,"#N/A","#N/A",9000,3.0,(336) 222-7000,27215,Yes,GC5000 series,Warm,7267,Mr.,NC,Closed - Converted,525 S. Lexington Ave,"VP, Facilities","#N/A"
4313bc55-078e-4bfb-b3eb-df7dbd041c4d,"#N/A","#N/A",Pending,Zenith Industrial Partners,"#N/A",USA,John Deere,"#N/A",bill_dadio@zenith.com,"#N/A","#N/A",Bill,"#N/A","#N/A",false,true,"#N/A",Dadio Jr,"#N/A",Web,"#N/A","#N/A","#N/A",3.0,(614) 431-5000,"#N/A",Yes,GC5000 series,"#N/A",7267,Mr,OH,Closed - Not Converted,"#N/A",CFO,"#N/A"
4dd84d78-7ffa-4228-adfd-88ac71f3921d,"#N/A","#N/A",Pending,Cadinal Inc.,"#N/A",USA,All,"#N/A",brenda@cardinal.net,"#N/A","#N/A",Brenda,"#N/A","#N/A",false,true,"#N/A",Mcclure,"#N/A",Web,"#N/A","#N/A","#N/A",130.0,(847) 262-5000,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,IL,Working - Contacted,"#N/A",CFO,"#N/A"
530c876e-32f1-4303-a7cc-a8006f681b22,"#N/A","#N/A",Pending,Aethna Home Products,"#N/A",USA,All,"#N/A",kakin@athenahome.com,"#N/A","#N/A",Kristen,"#N/A","#N/A",false,true,"#N/A",Akin,"#N/A",Partner Referral,"#N/A","#N/A","#N/A",130.0,(434) 369-3100,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,VA,Working - Contacted,"#N/A","Director, Warehouse Mgmt","#N/A"
5c493cb8-9d44-452f-be56-5fd1d03bdcd0,"#N/A","#N/A",Pending,Ace Iron and Steel Inc.,"#N/A",USA,All,"#N/A",carolync@aceis.com,"#N/A","#N/A",Carolyn,"#N/A","#N/A",false,true,"#N/A",Crenshaw,"#N/A",Phone Inquiry,"#N/A","#N/A","#N/A",130.0,(251) 679-2200,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,AL,Closed - Not Converted,"#N/A","VP, Technology","#N/A"
5dfd318f-cc83-4295-9257-05c9fd94921d,"#N/A","#N/A",Pending,Emerson Transport,"#N/A",USA,All,"#N/A",violetm@emersontransport.com,"#N/A","#N/A",Violet,"#N/A","#N/A",false,true,"#N/A",Maccleod,"#N/A",Phone Inquiry,"#N/A","#N/A","#N/A",130.0,(770) 395-2370,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,GA,Working - Contacted,"#N/A","VP, Finance","#N/A"
643e4b8c-81f7-412f-8ac6-cb2a55f16eb3,"#N/A","#N/A",Pending,TNR Corp.,"#N/A",USA,All,"#N/A",ksynder@tnr.net,"#N/A","#N/A",Kathy,"#N/A","#N/A",false,true,"#N/A",Snyder,"#N/A",Purchased List,"#N/A","#N/A","#N/A",130.0,(860) 273-0123,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,CT,Working - Contacted,"#N/A",Regional General Manager,"#N/A"
6c5963f4-be26-4db0-9159-47b669095050,"#N/A","#N/A",Pending,Abbott Insurance,"#N/A",USA,All,"#N/A",pcotton@abbottins.net,"#N/A","#N/A",Phyllis,"#N/A","#N/A",false,true,"#N/A",Cotton,"#N/A",Web,"#N/A","#N/A","#N/A",130.0,(703) 757-1000,"#N/A",Yes,GC5000 series,"#N/A",2768,Ms,VA,Open - Not Contacted,"#N/A",CFO,"#N/A"
